date,crop_name,region,pest,trap_count,is_sticky_sheet_replaced,lat,lon,time_delta,trap_id_id
2020-05-25,Broccoli,California,Diamondback moth,79.0,True,35.188384,-118.826319,4.0,27
2020-05-28,Broccoli,,,103.75,,35.188384,-118.826319,4.0,27
2020-05-31,Broccoli,,,78.66666666666666,,35.188384,-118.826319,3.3333333333333335,27
2020-06-03,Broccoli,,,59.0,,35.188384,-118.826319,5.0,27
2020-06-06,Broccoli,,,52.333333333333336,,35.188384,-118.826319,5.666666666666667,27
2020-06-09,Broccoli,,,58.5,,35.188384,-118.826319,4.0,27
2020-06-12,Broccoli,California,Diamondback moth,99.0,True,35.188384,-118.826319,7.0,27
2020-06-15,Broccoli,California,Diamondback moth,53.0,False,35.188384,-118.826319,3.0,27
2020-06-18,Broccoli,,,62.0,,35.188384,-118.826319,6.0,27
2020-06-21,Broccoli,,,25.666666666666664,,35.188384,-118.826319,4.333333333333334,27
2020-06-24,Broccoli,,,8.5,,35.188384,-118.826319,3.5,27
2020-06-27,Broccoli,,,8.666666666666666,,35.188384,-118.826319,3.6666666666666665,27
2020-06-30,Broccoli,,,21.25,,35.188384,-118.826319,3.25,27
2020-07-03,Broccoli,California,Diamondback moth,73.0,True,35.188384,-118.826319,4.0,27
2020-07-06,Broccoli,California,Diamondback moth,0.0,True,35.188384,-118.826319,3.0,27
2020-07-09,Broccoli,,,111.0,,35.188384,-118.826319,3.75,27
2020-07-12,Broccoli,,,123.33333333333333,,35.188384,-118.826319,3.3333333333333335,27
2020-07-15,Broccoli,,,65.5,,35.188384,-118.826319,5.0,27
2020-07-18,Broccoli,,,15.666666666666668,,35.188384,-118.826319,5.666666666666667,27
2020-07-21,Broccoli,,,6.25,,35.188384,-118.826319,3.25,27
2020-07-24,Broccoli,California,Diamondback moth,4.0,True,35.188384,-118.826319,4.0,27
2020-07-27,Broccoli,California,Diamondback moth,3.0,False,35.188384,-118.826319,3.0,27
2020-07-30,Broccoli,California,Diamondback moth,4.0,True,35.188384,-118.826319,6.0,27
2020-08-02,Broccoli,,,5.5,,35.188384,-118.826319,4.5,27
2020-06-01,Brussels sprout,California,Diamondback moth,20.0,False,36.68756,-121.79137,13.0,84
2020-06-04,Brussels sprout,California,Diamondback moth,19.0,True,36.68756,-121.79137,16.0,84
2020-06-07,Brussels sprout,,,8.5,,36.68756,-121.79137,7.0,84
2020-06-10,Brussels sprout,,,4.5,,36.68756,-121.79137,6.0,84
2020-06-13,Brussels sprout,,,7.333333333333334,,36.68756,-121.79137,9.0,84
2020-06-16,Brussels sprout,,,15.0,,36.68756,-121.79137,12.0,84
2020-06-19,Brussels sprout,,,18.0,,36.68756,-121.79137,15.0,84
2020-06-22,Brussels sprout,California,Diamondback moth,21.0,True,36.68756,-121.79137,18.0,84
2020-06-25,Brussels sprout,California,Diamondback moth,20.0,False,36.68756,-121.79137,3.0,84
2020-06-28,Brussels sprout,,,25.25,,36.68756,-121.79137,6.0,84
2020-07-01,Brussels sprout,,,31.57142857142857,,36.68756,-121.79137,9.0,84
2020-07-04,Brussels sprout,,,38.42857142857143,,36.68756,-121.79137,12.0,84
2020-07-07,Brussels sprout,California,Diamondback moth,50.0,False,36.68756,-121.79137,15.0,84
2020-07-10,Brussels sprout,,,54.5,,36.68756,-121.79137,18.0,84
2020-07-13,Brussels sprout,,,59.0,,36.68756,-121.79137,21.0,84
2020-07-16,Brussels sprout,,,63.5,,36.68756,-121.79137,24.0,84
2020-07-19,Brussels sprout,,,68.0,,36.68756,-121.79137,27.0,84
2020-07-22,Brussels sprout,,,77.5,,36.68756,-121.79137,30.0,84
2020-07-25,Brussels sprout,,,57.2,,36.68756,-121.79137,20.6,84
2020-07-28,Brussels sprout,California,Diamondback moth,17.0,False,36.68756,-121.79137,5.0,84
2020-07-31,Brussels sprout,,,15.0,,36.68756,-121.79137,8.0,84
2020-08-03,Brussels sprout,,,15.0,,36.68756,-121.79137,11.0,84
2020-08-06,Brussels sprout,California,Diamondback moth,31.0,False,36.68756,-121.79137,14.0,84
2020-06-12,Broccoli,,Diamondback moth,111.0,False,36.191092,-121.095686,12.0,89
2020-06-15,Broccoli,,Diamondback moth,54.0,False,36.191092,-121.095686,15.0,89
2020-06-18,Broccoli,,,70.5,,36.191092,-121.095686,18.0,89
2020-06-21,Broccoli,,,89.33333333333333,,36.191092,-121.095686,21.0,89
2020-06-24,Broccoli,,,58.0,,36.191092,-121.095686,24.0,89
2020-06-27,Broccoli,,,42.5,,36.191092,-121.095686,27.0,89
2020-06-30,Broccoli,,,40.25,,36.191092,-121.095686,30.0,89
2020-07-03,Broccoli,,Diamondback moth,23.0,False,36.191092,-121.095686,33.0,89
2020-07-06,Broccoli,,Diamondback moth,12.0,False,36.191092,-121.095686,36.0,89
2020-07-09,Broccoli,,,9.75,,36.191092,-121.095686,39.0,89
2020-07-12,Broccoli,,,23.666666666666664,,36.191092,-121.095686,42.0,89
2020-07-15,Broccoli,,,111.5,,36.191092,-121.095686,23.5,89
2020-07-18,Broccoli,,,177.6,,36.191092,-121.095686,5.0,89
2020-07-21,Broccoli,,,134.4,,36.191092,-121.095686,8.0,89
2020-07-24,Broccoli,,,91.2,,36.191092,-121.095686,11.0,89
2020-07-27,Broccoli,,Diamondback moth,48.0,False,36.191092,-121.095686,14.0,89
2020-07-30,Broccoli,,,86.25,,36.191092,-121.095686,17.0,89
2020-06-01,Broccoli,,Diamondback moth,25.0,False,36.892801,-121.765852,4.0,93
2020-06-04,Broccoli,,,13.0,,36.892801,-121.765852,7.0,93
2020-06-07,Broccoli,,,8.333333333333334,,36.892801,-121.765852,10.0,93
2020-06-10,Broccoli,,,18.0,,36.892801,-121.765852,13.0,93
2020-06-13,Broccoli,,,24.285714285714285,,36.892801,-121.765852,16.0,93
2020-06-16,Broccoli,,,13.142857142857142,,36.892801,-121.765852,19.0,93
2020-06-19,Broccoli,,Diamondback moth,2.0,False,36.892801,-121.765852,22.0,93
2020-06-22,Broccoli,,,7.142857142857142,,36.892801,-121.765852,25.0,93
2020-06-25,Broccoli,,,12.285714285714285,,36.892801,-121.765852,28.0,93
2020-06-28,Broccoli,,,13.142857142857142,,36.892801,-121.765852,31.0,93
