date,trap_count,is_sticky_sheet_replaced,lat,lon,time_delta,crop_name,trap_id_id
2020-05-31,95.5,1.0,35.188384,-118.826319,4.0,Broccoli,27
2020-06-07,59.0,0.5,35.188384,-118.826319,5.0,Broccoli,27
2020-06-14,72.0,0.5,35.188384,-118.826319,5.0,Broccoli,27
2020-06-21,59.0,0.5,35.188384,-118.826319,5.0,Broccoli,27
2020-06-28,8.5,1.0,35.188384,-118.826319,3.5,Broccoli,27
2020-07-05,38.5,1.0,35.188384,-118.826319,3.5,Broccoli,27
2020-07-12,74.0,1.0,35.188384,-118.826319,3.5,Broccoli,27
2020-07-19,65.5,0.5,35.188384,-118.826319,5.0,Broccoli,27
2020-07-26,5.5,1.0,35.188384,-118.826319,3.5,Broccoli,27
2020-08-02,3.5,0.5,35.188384,-118.826319,4.5,Broccoli,27
2020-08-09,6.0,1.0,35.188384,-118.826319,4.0,Broccoli,27
2020-06-07,19.5,0.5,36.68756,-121.79137,14.5,Brussels sprout,84
2020-06-14,4.5,0.0,36.68756,-121.79137,6.0,Brussels sprout,84
2020-06-21,14.0,0.0,36.68756,-121.79137,11.0,Brussels sprout,84
2020-06-28,20.5,0.5,36.68756,-121.79137,10.5,Brussels sprout,84
2020-07-05,27.0,0.0,36.68756,-121.79137,7.0,Brussels sprout,84
2020-07-12,46.5,0.0,36.68756,-121.79137,14.5,Brussels sprout,84
2020-07-19,,,,,,Brussels sprout,84
2020-07-26,77.5,0.5,36.68756,-121.79137,30.0,Brussels sprout,84
2020-08-02,16.0,0.0,36.68756,-121.79137,6.0,Brussels sprout,84
2020-08-09,23.0,0.0,36.68756,-121.79137,13.0,Brussels sprout,84
2020-06-14,111.0,0.0,36.191092,-121.095686,12.0,Broccoli,89
2020-06-21,65.0,0.0,36.191092,-121.095686,17.0,Broccoli,89
2020-06-28,67.5,0.0,36.191092,-121.095686,23.5,Broccoli,89
2020-07-05,34.5,0.0,36.191092,-121.095686,31.0,Broccoli,89
2020-07-12,10.5,0.0,36.191092,-121.095686,38.0,Broccoli,89
2020-07-19,111.5,0.5,36.191092,-121.095686,23.5,Broccoli,89
2020-07-26,,,,,,Broccoli,89
2020-08-02,73.5,0.0,36.191092,-121.095686,16.0,Broccoli,89
2020-06-07,17.0,0.0,36.892801,-121.765852,6.0,Broccoli,93
2020-06-14,18.0,0.0,36.892801,-121.765852,13.0,Broccoli,93
2020-06-21,2.0,0.0,36.892801,-121.765852,22.0,Broccoli,93
2020-06-28,14.0,0.0,36.892801,-121.765852,29.0,Broccoli,93
2020-07-05,11.0,0.0,36.892801,-121.765852,36.0,Broccoli,93
2020-07-12,9.5,0.0,36.892801,-121.765852,41.0,Broccoli,93
2020-07-19,5.0,0.0,36.892801,-121.765852,48.0,Broccoli,93
